#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AIF1	PILRA	9606.ENSP00000365227	9606.ENSP00000198536	0	0	0	0	0.219	0	0	0	0.219
AIF1	MMP8	9606.ENSP00000365227	9606.ENSP00000236826	0	0	0	0	0.068	0	0	0.165	0.189
AIF1	NT5E	9606.ENSP00000365227	9606.ENSP00000257770	0	0	0	0	0.050	0	0	0.239	0.246
AIF1	CDH1	9606.ENSP00000365227	9606.ENSP00000261769	0	0	0	0	0	0	0	0.174	0.173
AIF1	GZMA	9606.ENSP00000365227	9606.ENSP00000274306	0	0	0	0	0.203	0.096	0	0.130	0.318
AIF1	PLG	9606.ENSP00000365227	9606.ENSP00000308938	0	0	0	0	0	0.096	0	0.136	0.186
AIF1	OLFML3	9606.ENSP00000365227	9606.ENSP00000322273	0	0	0	0	0.045	0	0	0.370	0.372
AIF1	S100A12	9606.ENSP00000365227	9606.ENSP00000357726	0	0	0	0	0.208	0.116	0	0.095	0.311
AIF1	COLEC12	9606.ENSP00000365227	9606.ENSP00000383115	0	0	0	0	0.053	0.109	0	0.091	0.166
AIF1	HBB	9606.ENSP00000365227	9606.ENSP00000494175	0	0	0	0	0.119	0	0	0.119	0.190
AIF1	ALDOC	9606.ENSP00000365227	9606.ENSP00000378731	0	0	0	0	0	0	0	0.190	0.190
AIF1	C1S	9606.ENSP00000365227	9606.ENSP00000385035	0	0	0	0	0.058	0.096	0	0.175	0.236
ALDOC	ALPI	9606.ENSP00000378731	9606.ENSP00000295463	0	0	0	0	0	0	0.263	0.112	0.318
ALDOC	AIF1	9606.ENSP00000378731	9606.ENSP00000365227	0	0	0	0	0	0	0	0.190	0.190
ALPI	NT5E	9606.ENSP00000295463	9606.ENSP00000257770	0.095	0	0	0	0.063	0	0.145	0.236	0.372
ALPI	CDH1	9606.ENSP00000295463	9606.ENSP00000261769	0	0	0	0	0	0	0	0.246	0.245
ALPI	LCT	9606.ENSP00000295463	9606.ENSP00000264162	0	0	0	0	0.097	0	0	0.358	0.396
ALPI	ALDOC	9606.ENSP00000295463	9606.ENSP00000378731	0	0	0	0	0	0	0.263	0.112	0.318
ALPI	MDGA2	9606.ENSP00000295463	9606.ENSP00000405456	0	0	0	0	0	0	0.400	0.052	0.406
C1S	NT5E	9606.ENSP00000385035	9606.ENSP00000257770	0	0	0	0	0.124	0	0	0.091	0.170
C1S	GZMA	9606.ENSP00000385035	9606.ENSP00000274306	0	0	0.132	0.645	0.072	0	0	0.077	0.193
C1S	PLG	9606.ENSP00000385035	9606.ENSP00000308938	0	0	0	0.581	0.114	0	0	0.206	0.267
C1S	OLFML3	9606.ENSP00000385035	9606.ENSP00000322273	0	0	0	0	0.138	0	0	0.076	0.169
C1S	COL18A1	9606.ENSP00000385035	9606.ENSP00000352798	0	0	0	0	0.067	0	0	0.165	0.187
C1S	AIF1	9606.ENSP00000385035	9606.ENSP00000365227	0	0	0	0	0.058	0.096	0	0.175	0.236
C1S	COLEC12	9606.ENSP00000385035	9606.ENSP00000383115	0	0	0	0	0.113	0.094	0	0.192	0.294
C1S	HBB	9606.ENSP00000385035	9606.ENSP00000494175	0	0	0	0	0.062	0.106	0	0.190	0.262
CA13	CA3	9606.ENSP00000318912	9606.ENSP00000285381	0	0	0.062	0.956	0.050	0	0.500	0.070	0.530
CA3	HBB	9606.ENSP00000285381	9606.ENSP00000494175	0	0	0	0	0.064	0	0	0.135	0.157
CA3	CA13	9606.ENSP00000285381	9606.ENSP00000318912	0	0	0.062	0.956	0.050	0	0.500	0.070	0.530
CDH1	MMP8	9606.ENSP00000261769	9606.ENSP00000236826	0	0	0	0	0	0.048	0	0.297	0.302
CDH1	NT5E	9606.ENSP00000261769	9606.ENSP00000257770	0	0	0	0	0	0.045	0	0.393	0.395
CDH1	DMKN	9606.ENSP00000261769	9606.ENSP00000342012	0	0	0	0	0.115	0.045	0	0.091	0.164
CDH1	AIF1	9606.ENSP00000261769	9606.ENSP00000365227	0	0	0	0	0	0	0	0.174	0.173
